id	route	name	reference	status	level	funding	duration	core_options	eqa	link	last_updated
1	Health and science	Midwife (2019 NMC standards) (degree)	ST0948	Approved for delivery	6	27000	48	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/midwife-(2019-nmc-standards)-(degree)-v1-0	02/10/2020
2	Business and administration	Quality practitioner	ST0853	Approved for delivery	4	6000	14	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/quality-practitioner-v1-0	10/09/2020
3	Health and science	Clinical associate in psychology (CAP) (integrated degree)	ST0820	Approved for delivery	7	16000	18	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/clinical-associate-in-psychology-(cap)-(integrated-degree)-v1-0	24/08/2020
4	Sales, marketing and procurement	Procurement and supply assistant	ST0810	Approved for delivery	3	6000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/procurement-and-supply-assistant-v1-0	24/08/2020
5	Creative and design	Media production co-ordinator	ST0792	Approved for delivery	4	8000	18	1	National Skills Academy for Rail (NSAR)	https://www.instituteforapprenticeships.org/apprenticeship-standards/media-production-co-ordinator-v1-0	24/08/2020
6	Engineering and manufacturing	Engineer surveyor	ST0847	Approved for delivery	4	12000	24	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/engineer-surveyor-v1-0	24/08/2020
7	Engineering and manufacturing	Space engineering technician	ST0855	Approved for delivery	4	19000	48	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/space-engineering-technician-v1-0	24/08/2020
8	Engineering and manufacturing	Material cutter	ST0899	Approved for delivery	2	5000	12	0	UK Fashion & Textile Association (UKFT)	https://www.instituteforapprenticeships.org/apprenticeship-standards/material-cutter-v1-0	24/08/2020
9	Creative and design	Bookbinder	ST0469	Approved for delivery	2	10000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/bookbinder-v1-0	24/08/2020
10	Creative and design	Junior vfx artist (generalist)	ST0903	Approved for delivery	4	7000	18	0	National Skills Academy for Rail (NSAR)	https://www.instituteforapprenticeships.org/apprenticeship-standards/junior-vfx-artist-(generalist)-v1-0	24/08/2020
11	Engineering and manufacturing	Water process operative	ST0876	Approved for delivery	2	9000	18	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/water-process-operative-v1-0	24/08/2020
